code_comptable,code_postal,address,lat,lon,wilaya,wilaya_name,rang,code,name,superficie
1101,1016.0, ADRAR KSAR ADGHA,29.2629508972168,-0.222039997577667,1,Adrar,2,1,Adrar,242942
1109,1002.0,CITE 140 LOGTS ADRAR DJADIDA,27.8928928375244,-0.304791986942291,1,Adrar,2,1,Adrar,242942
1305,1007.0,DAIRA ZT KOUNTA,27.229061126709,-0.150742992758751,1,Adrar,2,1,Adrar,242942
1211,1023.0,APC BOUDA EL MANSOUR,27.9554252624512,-0.424751996994019,1,Adrar,2,1,Adrar,242942
1213,1021.0,KSAR BOUFADI,27.7191104888916,-0.271566987037659,1,Adrar,2,1,Adrar,242942
1110,1057.0,KSAR BOUDA LAGMARA,28.0279731750488,-0.460485488176346,1,Adrar,2,1,Adrar,242942
1212,1030.0,KSAR MLOUKA,27.87619972229,-0.34145399928093,1,Adrar,2,1,Adrar,242942
1203,1028.0,APC TAMEST,27.4083938598633,-0.181930005550385,1,Adrar,2,1,Adrar,242942
1208,1026.0,APC BOUDA BEN DRAOU,28.0100059509277,-0.426800012588501,1,Adrar,2,1,Adrar,242942
1313,1045.0,KSAR INZAGLOUF,26.8194236755371,-0.0308720003813505,1,Adrar,2,1,Adrar,242942
1319,1076.0,KSAR  INZAGMIR,27.110481262207,0.122432999312878,1,Adrar,2,1,Adrar,242942
1111,1063.0,UNIVERSITE  ADRAR,27.8907413482666,-0.284996002912521,1,Adrar,2,1,Adrar,242942
1310,1048.0,KSAR TIMADANINE,26.7107009887695,-0.121871002018452,1,Adrar,2,1,Adrar,242942
1207,1022.0,APC SBAA,28.2108955383301,-0.469969987869263,1,Adrar,2,1,Adrar,242942
1112,1064.0,CITE UNIVERSITE TILLILANE,27.9809875488281,-0.286547005176544,1,Adrar,2,1,Adrar,242942
1102,1062.0,HAI 200LOGTS ADRAR,27.8662700653076,-0.282842010259628,1,Adrar,2,1,Adrar,242942
1308,1056.0,KSAR EL BERRICH,26.8708343505859,-0.0031439999584108,1,Adrar,2,1,Adrar,242942
1301,1017.0,KSAR BAHOU,26.8623161315918,-0.0071299998089671,1,Adrar,2,1,Adrar,242942
1202,1027.0,KSAR OUDGHA,27.6557445526123,-0.31105700135231,1,Adrar,2,1,Adrar,242942
1306,1040.0,KSAR BOUALI,27.1599521636963,-0.131987005472183,1,Adrar,2,1,Adrar,242942
1206,1011.0,DAIRA TSABIT,28.3080387115479,-0.240628004074097,1,Adrar,2,1,Adrar,242942
1300,1004.0, DAIRA REGGANE CENTRE,26.7174892425537,-0.193939000368118,1,Adrar,2,1,Adrar,242942
1303,1009.0,APC SALI,26.9612522125244,-0.0251550003886223,1,Adrar,2,1,Adrar,242942
2419,2059.0,OULED FETTI,36.1110000610352,1.06289994716644,2,Chlef,41,2,Chlef,4077
2410,2074.0,OULED BERRADJAH,36.1525993347168,1.00279998779297,2,Chlef,41,2,Chlef,4077
2202,2034.0,BIR SAF SAF,36.2048988342285,1.59270000457764,2,Chlef,41,2,Chlef,4077
2404,2083.0,BORDJ BAAL,36.2778015136719,0.845399975776672,2,Chlef,41,2,Chlef,4077
2316,2065.0,TALASSA,36.4266014099121,1.09080004692078,2,Chlef,41,2,Chlef,4077
2204,2053.0,PETIT BARRAGE,36.089298248291,1.59150004386902,2,Chlef,41,2,Chlef,4077
2215,2055.0,CAPER,36.1617012023926,1.17789995670319,2,Chlef,41,2,Chlef,4077
2502,2047.0,KECHACHDA,36.3545989990234,1.26859998703003,2,Chlef,41,2,Chlef,4077
2326,2093.0,HAI EL FELLAGUIA,36.3395004272461,1.40209996700287,2,Chlef,41,2,Chlef,4077
2220,2077.0,OULED BOUALI,36.2092018127441,1.4536999464035,2,Chlef,41,2,Chlef,4077
2207,2031.0,HARCHOUN,36.111499786377,1.50510001182556,2,Chlef,41,2,Chlef,4077
2403,2069.0,BENI OUAZENE,35.9870986938477,1.31429994106293,2,Chlef,41,2,Chlef,4077
2302,2060.0,MOUSSADEK,36.3543014526367,1.00849997997284,2,Chlef,41,2,Chlef,4077
2203,2020.0,CHETTIA VSA,36.1864013671875,1.25020003318787,2,Chlef,41,2,Chlef,4077
2406,2028.0,EL-ATMANIA,36.0185012817383,1.16149997711182,2,Chlef,41,2,Chlef,4077
2429,2096.0,"LOCALITE D'AIN SERAGUE,HERENFA",36.2436981201172,1.05659997463226,2,Chlef,41,2,Chlef,4077
2428,2095.0,"CENTRE VILLE D'AIN MERANE,CHLEF",36.1633987426758,0.981100022792816,2,Chlef,41,2,Chlef,4077
2321,2081.0,KAHLOUL,36.4203987121582,1.2360999584198,2,Chlef,41,2,Chlef,4077
2303,2039.0,BENAIRIA,36.3550987243652,1.37580001354218,2,Chlef,41,2,Chlef,4077
2307,2070.0,BREIRA,36.4490013122559,1.61539995670319,2,Chlef,41,2,Chlef,4077
2110,2022.0,ZONE 3,36.1369018554688,1.30490005016327,2,Chlef,41,2,Chlef,4077
2117,2016.0,ZONE 2,36.1549987792969,1.35239994525909,2,Chlef,41,2,Chlef,4077
2115,2057.0,HAY CHEGGA,36.1920013427734,1.34669995307922,2,Chlef,41,2,Chlef,4077
2123,2098.0,RN N°04,36.1558532714844,1.30460274219513,2,Chlef,41,2,Chlef,4077
2430,2097.0,DHARIDJ,36.0853538513184,1.23935604095459,2,Chlef,41,2,Chlef,4077
2418,2054.0,ZEMOURA,35.9567985534668,1.24860000610352,2,Chlef,41,2,Chlef,4077
2320,2061.0,OUED GOUSSINE,36.5247993469238,1.49609994888306,2,Chlef,41,2,Chlef,4077
